,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
236,109,93,3108,3908,77,26,2,0,37.4823647,126.9856137,방배2동
237,102,82,4154,6589,58,22,1,0,37.4811119,126.9986796,방배3동
238,128,78,3682,3884,79,25,2,0,37.4751703,127.0017707,방배4동
239,85,79,3077,3178,50,26,2,1,37.4957394,126.9875352,방배본동
240,121,84,3727,4169,118,38,2,0,37.4927095,127.029035,서초1동
241,121,55,8616,3855,111,23,1,0,37.4920588,127.0249573964116,서초2동
242,155,116,6241,5743,172,40,1,2,37.4840597,127.0141351,서초3동
243,158,98,3773,4359,56,27,2,0,37.50266565,127.0221730780542,서초4동
244,243,171,5236,6664,167,50,1,2,37.4716352,127.0267078,양재1동
245,133,91,3675,4203,125,48,2,0,37.4705922,127.0412234,양재2동
246,155,86,3406,4847,61,23,2,0,37.5147005,127.0105924,잠원동
247,150,66,1619,2047,64,22,0,1,37.5582245,127.0325932,금호1가동
248,180,109,2534,3065,121,35,0,0,37.552556,127.0221257,금호2.3가동
249,128,71,1816,2164,58,22,0,1,37.5467287,127.0204442,금호4가동
250,115,101,2901,3324,96,36,2,0,37.56588,127.04575,마장동
251,41,41,3035,3019,43,16,2,1,37.5609,127.04555,사근동
252,109,82,3118,3127,83,30,2,0,37.542067,127.0496432,성수1가1동
253,66,45,1792,2496,46,14,0,1,37.5472871,127.0441186,성수1가2동
254,71,114,2120,2724,78,30,0,0,37.5455662,127.0272714,성수2가1동
255,57,43,1850,2261,48,21,0,1,37.5497734,127.053245,성수2가3동
256,40,55,1442,1593,48,22,0,1,37.5549166,127.069682,송정동
257,245,120,3486,4043,138,34,2,2,37.54348,127.01389,옥수동
258,159,86,2154,2597,73,25,0,0,37.5620869,127.0319789,왕십리2동
259,198,124,3813,4313,110,42,2,0,37.5679442,127.0255897821386,왕십리도선동
260,33,84,2069,2081,48,30,0,1,37.563863,127.0548293,용답동
261,94,57,1662,2014,44,25,0,1,37.54348,127.01389,응봉동
262,99,60,2148,2253,51,27,0,1,37.5585385,127.0365353,행당1동
263,160,105,2272,2954,123,23,0,0,37.558229,127.0293506,행당2동
264,189,117,3395,4182,85,23,2,0,37.6146362,127.0165792,길음1동
265,128,69,2504,2752,61,30,0,1,37.6061647,127.0256465,길음2동
266,71,68,1536,2025,52,22,0,1,37.6074613,127.0055459,돈암1동
267,114,95,2210,2898,68,30,0,0,37.5980185,127.0105689,돈암2동
268,47,63,3447,3472,56,24,2,1,37.59398735,127.0204361,동선동
269,82,84,2282,2541,60,28,0,1,37.5798459,127.0234001,보문동
270,68,133,3191,3659,78,43,2,0,37.5908535,127.0146619,삼선동
271,162,231,4406,4801,144,53,2,2,37.6049647,127.045229,석관동
272,71,105,2382,2608,71,15,0,1,37.5887605,127.0050308,성북동
273,37,67,3416,3414,48,27,2,1,37.586034,127.021375,안암동
274,138,125,2528,2855,74,44,0,0,37.61056395,127.0357600359999,월곡1동
275,75,113,2807,3149,72,34,2,0,37.6049647,127.045229,월곡2동
276,70,129,6741,2490,83,39,2,0,37.61373,127.03915,장위1동
277,41,100,1927,1842,65,16,0,1,37.609865,127.0524123,장위2동
278,149,92,2312,3654,55,37,2,0,37.6167394,127.0570781,장위3동
279,90,71,2304,2688,65,29,0,1,37.6014313,127.0166804,정릉1동
280,119,130,2656,2960,78,36,0,0,37.6044694,127.0111539,정릉2동
281,67,100,2319,2623,69,20,0,1,37.6085444,127.003904,정릉3동
282,134,149,2622,3131,72,46,0,0,37.6063255,127.0104128,정릉4동
283,189,224,4069,4650,115,51,2,2,37.5919701,127.0365575,종암동
284,326,66,5806,6542,115,34,1,2,37.4980968,127.1037991,가락1동
