,출생비_k,사망비_k,혼인비_k,이혼비_k,전입_s,전출_s,동,cluster_rate
316,0.004437968,0.007683646,0.003444393,0.003709346,-0.785568968,-0.787909462,신월3동,1
317,0.004773672,0.004549028,0.002358755,0.001797147,-0.973494738,-1.016801174,신월4동,1
318,0.005763689,0.004734459,0.003430767,0.002127076,-0.827268473,-0.886647063,신월5동,1
319,0.006005354,0.002242964,0.005281818,0.001230012,-0.966266824,-1.342507027,신월6동,1
320,0.003673469,0.00744898,0.003571429,0.001938776,-0.62099492,-0.465409375,신월7동,1
321,0.00306521,0.003707915,0.00173036,0.001186533,-0.531479982,-0.45643323,신정1동,1
322,0.001854236,0.004429565,0.00149369,0.000927118,-0.7238537,-0.747516807,신정2동,1
323,0.005107968,0.003745844,0.003024719,0.0016025,2.847847928,1.054123836,신정3동,0
324,0.004414809,0.005236877,0.00341006,0.001644136,0.673913718,1.031683472,신정4동,0
325,0.003509058,0.002774604,0.002529786,0.000775257,-0.340218251,-0.247417269,신정6동,1
326,0.004190621,0.004848653,0.002528226,0.001523862,-0.020522044,0.277046092,신정7동,2
327,0.006623491,0.004170346,0.007604749,0.001913453,0.141272037,0.226394985,당산1동,2
328,0.006809778,0.003378289,0.00497433,0.001303434,1.803136322,1.878646921,당산2동,0
329,0.002979284,0.004780711,0.003949283,0.00159357,-0.933463213,-1.069375741,대림1동,1
330,0.003352892,0.004191115,0.003520536,0.00217938,-0.946251061,-0.989231584,대림2동,1
331,0.005623285,0.004768546,0.004408655,0.001079671,-0.476992628,-0.328202579,대림3동,2
332,0.006183597,0.005509022,0.006577098,0.001517792,-0.391925638,-0.371801,도림동,1
333,0.00835997,0.003626752,0.006085567,0.001167937,0.171851674,0.352702176,문래동,2
334,0.003683241,0.007366483,0.005639963,0.001841621,0.028961369,-0.18650771,신길1동,2
335,0.00495199,0.005676671,0.003140286,0.001207802,-0.687714128,-0.811632133,신길3동,1
336,0.002264273,0.00493288,0.004205078,0.000808669,-0.929015266,-1.421368877,신길4동,1
337,0.005259635,0.006120302,0.005929043,0.001434446,-1.142516733,-1.180936407,신길5동,1
