,영업이익율,EBITDA마진율
1133,-0.153,-0.233
1134,-0.271,-0.472
1135,0.054,0.046
1136,0.015,-0.207
1137,0.018,0.067
1138,-0.149,-0.351
1139,-0.119,-0.200
1140,-0.115,-0.230
1141,0.044,0.045
1142,0.101,0.097
1143,0.072,0.077
1144,0.087,0.085
1145,0.065,0.074
1146,0.096,0.096
1147,0.103,0.101
1148,0.088,0.087
1149,0.030,0.020
1150,0.038,0.017
1151,0.026,0.011
1152,0.045,0.031
1153,-0.050,-0.059
1154,0.076,0.082
1155,0.033,0.041
1156,0.041,0.032
1157,-0.067,-0.074
1158,0.064,0.072
1159,0.038,0.036
1160,0.027,0.015
1161,-0.050,-0.056
1162,-0.182,-0.195
1163,-0.057,-0.070
1164,-0.545,-0.621
1165,-0.317,-0.402
1166,-0.263,-0.413
1167,-0.326,-0.454
1168,0.003,-0.239
1169,-0.025,-0.631
1170,0.010,-0.137
1171,-0.376,-0.992
1172,-0.366,-0.886
1173,-0.415,-3.097
1174,-0.407,-0.510
1175,-0.279,-0.984
1176,-0.207,-0.200
1177,-0.210,-0.002
1178,-0.455,-0.490
1179,-0.265,-0.438
1180,0.065,0.078
1181,-0.202,-0.656
1182,-0.220,-0.228
1183,0.081,-0.303
1184,-0.306,-0.297
1185,-0.470,-0.469
1186,-0.444,-0.430
1187,-0.592,-0.752
1188,-0.722,-0.669
1189,-0.518,-0.549
1190,-0.435,-0.394
1191,-0.364,-0.438
1192,-1.233,-1.174
1193,-0.736,-0.713
1194,-1.053,-1.437
1195,-0.886,-1.236
1196,-0.900,-1.317
1197,0.440,0.392
1198,0.003,-0.385
1199,0.315,0.352
1200,0.145,-0.115
1201,0.285,0.411
1202,0.056,0.545
1203,0.088,0.175
1204,0.349,0.487
1205,0.055,0.029
1206,0.007,0.004
1207,-0.087,-0.208
1208,-0.060,-0.075
1209,0.043,-0.050
1210,-0.108,-0.620
1211,-0.042,0.250
1212,-0.127,-0.064
1213,-0.171,-0.180
1214,0.067,0.075
1215,0.197,0.016
1216,0.100,0.181
1217,0.134,0.056
1218,0.110,0.215
1219,0.044,-0.056
1220,0.061,0.021
1221,0.077,0.017
1222,0.041,0.096
1223,-0.019,-0.049
1224,-0.301,-0.078
1225,0,
1226,0.061,-0.040
1227,0.041,0.018
1228,0.042,-0.006
1229,0.144,0.188
1230,0.152,0.221
1231,0.195,0.149
1232,0.140,0.162
1233,0.194,0.205
1234,0.185,0.168
1235,0.177,0.194
1236,0.142,0.127
1237,0.069,0.046
1238,0.078,0.077
1239,0.035,0.025
1240,0.046,0.034
1241,-0.029,-0.036
1242,-0.012,-0.019
1243,0.017,0.010
1244,-0.015,-0.023
1245,0.104,0.101
1246,0.164,0.161
1247,0.130,0.125
1248,0.054,0.053
1249,0.041,0.196
1250,0.003,-0.013
1251,0.025,0.058
1252,-0.013,-0.016
1253,0.008,-0.006
1254,0.016,-0.034
1255,0.021,0.008
1256,0.008,-0.191
1257,0.006,0.012
1258,0.001,0.127
1259,-0.030,-0.042
1260,-0.022,0.019
1261,-0.051,-0.152
1262,-0.118,-0.135
1263,-0.011,-0.033
1264,-0.063,-0.148
1265,-0.130,-0.099
